"city_cn","year","city_code","city_invest","city_tech","city_edu","city_industry"
"保定",2015,"130600",56680.09,0.0039343621366868,0.215448846323286,0.382
"保定",2016,"130600",61205.52,0.0061268983581873,0.213636286400312,0.3861
"保定",2017,"130600",71801.23,0.00622552009206528,0.201294323230953,NA
"保定",2018,"130600",105047.15,0.00410291949852995,0.157499941692849,0.4627
"保定",2019,"130600",78907,0.00712230854043368,0.209892658446019,0.533
"保定",2020,"130600",87503.14,0.00493696569060265,0.195031858285314,0.5415
"保定",2021,"130600",85936.54,0.0142430681989291,0.224722917632011,0.5154
"保定",2022,"130600",NA,NA,NA,NA
"张家口",2003,"130700",3767.78,0.0026540827755336,0.172021721013435,0.3989
"张家口",2004,"130700",5269.79,0.00227713058774638,0.150307697270669,0.368
"张家口",2005,"130700",5869.58,0.00255554911935777,0.153060355255402,0.3908
"张家口",2006,"130700",6861.34,0.00320637076722623,0.145366648497232,0.3927
"张家口",2007,"130700",9224.61,0.00455303801461525,0.181769202166812,0.3985
"张家口",2008,"130700",11108.99,0.00585111697823114,0.187253746740253,0.3953
"张家口",2009,"130700",15522.91,0.00592672379083561,0.171412447794904,0.43
"张家口",2010,"130700",18173.2,0.00660312988356481,0.160233200537055,0.4121
"张家口",2011,"130700",23151.55,0.00436255887834724,0.175394304053076,0.3969
"张家口",2012,"130700",26656.17,0.00487691967750806,0.193704121784938,0.4043
"张家口",2013,"130700",29482.08,0.00461297167635391,0.168338190521157,0.3956
"张家口",2014,"130700",32971.37,0.00461006018251592,0.156059332687723,0.3958
"张家口",2015,"130700",39026.17,0.00302361210439046,0.165863829322734,0.4212
"张家口",2016,"130700",41519.21,0.00541917825507759,0.171784097048089,0.4453
"张家口",2017,"130700",47257.63,0.00440140565661037,0.169258593797446,NA
"张家口",2018,"130700",56025.56,0.00517620885895652,0.139757639191826,0.5151
"张家口",2019,"130700",61104.03,0.00381316911503218,0.136859221887656,0.5557
"张家口",2020,"130700",64307.38,0.00569141519993506,0.136142383657988,0.5631
"张家口",2021,"130700",53533.11,0.00642592967230934,0.15811130718914,0.5619
"张家口",2022,"130700",60308,NA,NA,NA
"承德",2003,"130800",2930.53,0.00272988162550801,0.225146987063773,0.3478
"承德",2004,"130800",3781.11,0.0029091986215688,0.209993890682895,0.3209
"承德",2005,"130800",4852.09,0.0022670642960044,0.206420326086284,0.3081
"承德",2006,"130800",6218.12,0.00192984374698462,0.188383305565026,0.2979
"承德",2007,"130800",7604.74,0.00933628237125793,0.245897953118713,0.271
"承德",2008,"130800",10682.93,0.00814383319931891,0.240281458363951,0.2483
"承德",2009,"130800",12972.73,0.0073230538213622,0.20956730002089,0.3348
"承德",2010,"130800",15592.05,0.00660593058642064,0.191934351159726,0.3328
"承德",2011,"130800",19235.82,0.00712212944392285,0.201695066807654,0.3018
"承德",2012,"130800",23579.68,0.00665827526073297,0.218239602912338,0.3142
