"IID","province","city","income","industry","education","gender","age","health","year","non_cognitive_score","cognitive_score","comprehensive_score"
"1103020004000002",110000,110100,36000,7,9,1,53,3,2014,3.22537650448744,2.66604058264597,3.08181894494046
"1103020004000002",110000,110100,70000,7,12,1,55,3,2016,2.76545643971472,2.71985910191116,2.98374233082729
"1103020004400001",110000,110100,40000,11,15,0,39,3,2014,2.60363109795817,2.40001016882767,2.51253510342637
"1103020004400001",110000,110100,1e+05,8,15,0,41,2,2016,2.99309077641824,3.23786738322588,2.89727905884945
"1103020005100002",110000,110100,48000,5,9,1,56,4,2014,3.7663752547518,3.21605514851454,2.95519376556791
"1103020005100003",110000,110100,40000,8,15,1,27,5,2014,3.38101410022781,2.99602323256257,2.9002463825469
"1103020005800001",110000,110100,90000,15,16,1,40,3,2014,2.78504324041486,3.57204876532415,2.80803086829814
"1103020005800002",110000,110100,40000,3,12,0,36,3,2014,3.38480747743203,2.66604058264597,3.48003854326817
"1103020005910001",110000,110100,2e+05,11,15,1,32,5,2014,3.80039804222888,3.57204876532415,3.52547310038774
"1103020006810001",110000,110100,30000,8,9,1,41,4,2014,3.36065278077184,2.38791145009522,3.04401615060577
"1103020006810002",110000,110100,21600,16,3,0,37,3,2014,3.39029418842916,1.32600588247917,2.28314045607739
"1103020007310001",110000,110100,30000,5,15,0,35,3,2014,2.9884385753902,2.40001016882767,3.04770792281183
"1103020007310001",110000,110100,80000,9,15,0,37,3,2016,3.55627651801428,2.40631213103395,3.16189264394305
"1103020007710001",110000,110100,25000,16,12,0,41,5,2014,3.76799510480793,1.42800951943939,2.836734185431
"1103020007710001",110000,110100,32500,11,12,0,43,4,2016,3.34886548152814,2.66636788251167,3.02430845872316
"1103020008110004",110000,110100,72000,9,16,0,27,4,2014,2.96590372878614,3.57204876532415,3.2928175976248
"1103030000710001",110000,110100,40000,14,12,1,45,4,2014,2.55911305883546,3.57204876532415,2.50150950929986
"1103030000710002",110000,110100,40000,15,12,0,43,4,2014,3.3793207664349,2.07201590262979,3.1599994532255
"1103030001010002",110000,110100,7000,8,12,0,55,3,2014,3.20122180782725,2.36190048320221,2.57431559447049
"1103030001110001",110000,110100,30000,7,9,0,60,4,2014,3.60856413186334,2.36190048320221,3.14089098923659
"1103030001310001",110000,110100,40000,15,12,0,25,5,2014,3.59700270725354,2.40001016882767,3.31445350256911
"1103030001510001",110000,110100,1e+05,14,16,0,51,5,2014,3.59652453690491,2.40001016882767,3.02937292110654
"1103030001510001",110000,110100,180000,14,16,0,54,4,2016,3.20890949956882,2.66636788251167,3.40013287163848
"1103030001610001",110000,110100,48000,16,15,1,44,5,2014,3.40734232403609,2.66604058264597,3.07179719866457
"1103030002110001",110000,110100,4000,8,9,0,32,5,2014,2.98295186439307,2.07201590262979,2.59942836502471
"1103030002110001",110000,110100,40000,8,8,0,34,3,2016,3.80437500309829,2.36007494195527,2.92411816377663
"1103030002110002",110000,110100,10000,8,9,1,40,5,2014,3.63054732438199,1.42800951943939,2.96560445648612
"1103030002110002",110000,110100,20000,8,9,1,42,3,2016,2.81989741370606,3.5347113177089,2.87304102187636
"1103030002510001",110000,110100,40000,11,12,0,52,5,2014,4.17979229240056,2.66604058264597,3.93945991651765
"1103030002510002",110000,110100,1e+05,14,16,1,56,4,2014,3.80371122607792,3.57204876532415,3.59962128576698
"1103030002510003",110000,110100,30000,3,16,0,25,5,2014,3.6052509480143,3.57204876532415,3.14307918496373
"1103030002610002",110000,110100,70000,11,12,1,41,5,2014,3.25284640800322,2.99602323256257,3.19138980462693
"1103030002610002",110000,110100,50000,16,15,1,43,4,2016,3.79109050043118,2.40631213103395,3.453698296316
"1103030002710002",110000,110100,60000,14,15,1,53,5,2014,3.79167163111949,2.66604058264597,3.46730802206165
"1103030002710003",110000,110100,48000,9,15,1,24,5,2014,3.3793207664349,3.57204876532415,3.2256246564826
"1103030003310001",110000,110100,50000,14,12,0,34,5,2014,3.60363109795817,2.71789410001182,3.33100927638052
"1103030003310001",110000,110100,40000,3,15,0,36,5,2016,3.63145206251774,2.9957455437849,3.34645093986016
"1103030003310002",110000,110100,70000,14,12,1,37,5,2014,3.60145757081008,2.40001016882767,3.38999248244612
"1103030003310002",110000,110100,40000,3,12,1,39,5,2016,3.59447831074154,3.03282450878959,3.27606319713408
"1103030004110001",110000,110100,150000,14,19,0,29,5,2014,3.56736129959622,2.40001016882767,3.46201940586983
"1103030004410001",110000,110100,1e+05,14,16,0,40,5,2014,3.6052509480143,3.54404941471242,3.06314535881477
"1104010000310002",110000,110100,20000,12,15,1,49,5,2014,3.62229908362123,3.54404941471242,3.1898648653508
"1104010000310002",110000,110100,40000,12,12,1,51,4,2016,3,2.07906169786827,2.80050719841978
"1104010000310003",110000,110100,16000,7,12,0,45,4,2014,3.25122655794709,2.99602323256257,3.16669777486023
"1104010000510001",110000,110100,90000,12,16,0,43,4,2014,3.6168123726241,3.03191783328561,3.40425954512746
"1104010000510001",110000,110100,140000,15,16,0,45,4,2016,3.78442212501254,2.9957455437849,3.51558868717392
"1104010000610001",110000,110100,60000,16,12,1,40,3,2014,3.1688188704063,2.36190048320221,3.00575769963998
"1104010000610002",110000,110100,30000,16,9,0,36,4,2014,2.79167163111949,2.88607249859794,2.24701047997124
"1104010000810001",110000,110100,60000,15,16,0,33,3,2014,2.57608771070561,2.99602323256257,2.84064190808509
"1104010001210001",110000,110100,30000,15,15,1,51,4,2014,4.02084151281115,2.07201590262979,3.59512237706751
"1104010001210002",110000,110100,58000,13,12,0,55,3,2016,3.37988762854201,2.71985910191116,3.02179765651416
"1104010001410001",110000,110100,50000,8,9,1,27,3,2014,2.81195946683868,2.66604058264597,2.77733629607435
"1104010001410002",110000,110100,40000,11,15,0,25,3,2014,3.22044347058227,2.40001016882767,3.37484092514467
"1104010001610001",110000,110100,48000,9,15,0,58,4,2016,3.77308243395279,3.5347113177089,3.29562130828037
"1104010001610002",110000,110100,30000,11,12,1,58,4,2014,2.38480747743203,2.38791145009522,2.25827110185732
"1104010001610002",110000,110100,40000,11,12,1,60,4,2016,2.78346450619311,2.40631213103395,2.70225985239268
"1104010001610003",110000,110100,85000,9,16,1,31,4,2016,3.81918064304975,2.9957455437849,3.45306707382232
"1104010001710001",110000,110100,20000,12,15,0,48,5,2014,3.58602928525928,2.71789410001182,3.23863789916144
"1104010001710001",110000,110100,36000,12,15,0,50,4,2016,4.01133969105974,2.36220217006282,3.3912583339788
"1104010001710002",110000,110100,60000,15,12,1,50,4,2014,3.57122816053722,3.03191783328561,3.38999248244612
"1104010001910001",110000,110100,56000,13,16,0,51,4,2014,3.63054732438199,2.66604058264597,3.01552827092614
"1104010001910001",110000,110100,80000,13,16,0,53,4,2016,3.37988762854201,3.5347113177089,2.87169553755849
"1104010001910002",110000,110100,60000,9,12,1,52,4,2014,3.41010385379972,2.66604058264597,2.87004574228841
"1104010001910003",110000,110100,110000,9,15,0,27,4,2014,3.42715198940665,2.40001016882767,2.98634154103986
"1104010001910003",110000,110100,150000,11,16,0,29,4,2016,3.37767239480302,2.40631213103395,3.52993630431827
"1104010001910004",110000,110100,120000,8,16,1,30,4,2014,3.40185561303896,2.40001016882767,3.28173380631341
"1104010002010003",110000,110100,1e+05,16,16,0,25,4,2014,3.40185561303896,3.03191783328561,3.2898314000878
"1104010002110001",110000,110100,24000,8,15,1,38,4,2014,3.80039804222888,2.40001016882767,3.55524763499082
"1104010002110001",110000,110100,30000,11,15,1,40,3,2016,3.59325026979048,2.66636788251167,3.05230544923549
"1104010002510001",110000,110100,150000,11,12,1,51,3,2014,3.60856413186334,3.54404941471242,3.16750674462858
"1104010002510001",110000,110100,50000,11,12,1,53,3,2016,3.81918064304975,2.71985910191116,3.42714923422793
"1104010002510002",110000,110100,50000,13,9,0,47,3,2014,3.45244836577434,3.54404941471242,3.2182801117955
"1104010002510003",110000,110100,30000,12,15,1,27,4,2014,3,2.40001016882767,2.98679840050882
"1104010002510004",110000,110100,30000,8,12,1,25,4,2014,3.59652453690491,2.40001016882767,3.35343901148847
"1104010003010001",110000,110100,65000,15,12,1,51,5,2016,4.20917992170045,3.5347113177089,3.46787826002855
"1104010003010002",110000,110100,80000,15,15,0,51,4,2016,4.03891856338357,2.07906169786827,3.39170951906323
"1104010003110001",110000,110100,72000,11,12,0,59,4,2016,3.97881908096319,2.71985910191116,3.41075867827496
"1104010003110002",110000,110100,80000,9,15,1,31,4,2014,3.40848400374359,2.99602323256257,3.2898314000878
"1104010003110003",110000,110100,60000,8,12,0,26,4,2014,3.19514709421458,3.57204876532415,3.18662198626275
"1104010003110004",110000,110100,40000,7,12,1,59,4,2014,3.79660466502466,2.71789410001182,3.14022432685916
"1104010003110004",110000,110100,72000,11,9,1,61,3,2016,4.02686210166751,3.5347113177089,3.48314285327894
"1104010003310001",110000,110100,46000,11,16,0,47,3,2014,3.18966038321745,2.36190048320221,3.07071540424947
"1104010003710001",110000,110100,20000,11,12,0,58,4,2016,3.39885331383982,2.07906169786827,2.82018701037723
"1104010004010001",110000,110100,50000,15,12,0,44,4,2014,3.58157442170274,2.66604058264597,3.04078723809256
"1104010004010001",110000,110100,60000,11,12,0,46,3,2016,3.00221523373899,2.66636788251167,3.26237296841597
"1104010004910001",110000,110100,30000,11,12,0,51,4,2014,3.57995457164661,3.23002568143863,3.48457075636381
"1104010004910002",110000,110100,50000,8,15,0,27,4,2014,3.7740698184206,2.40001016882767,3.30292591292668
"1104010004910003",110000,110100,60000,2,12,1,53,4,2014,3.58602928525928,2.66604058264597,3.57458231703499
"1104010005310001",110000,110100,30000,11,15,0,38,4,2014,3.80039804222888,3.57204876532415,3.48766580942758
"1104010005310002",110000,110100,84000,15,16,1,43,5,2014,4.01318127466593,3.57204876532415,3.41920415804922
"1104010005410001",110000,110100,30000,11,15,0,38,4,2014,3.36065278077184,3.57204876532415,3.28004387519652
"1201010000100001",120000,120100,16000,8,9,0,48,3,2016,3.1978402306407,1.65237363822381,2.25957013178995
"1201010000100002",120000,120100,50000,3,9,1,50,4,2014,2.98788489829824,3.23002568143863,2.67901174845323
"1201010000300001",120000,120100,80000,7,7,1,32,5,2016,3.59669354448053,2.06110377936469,3.40789238484937
"1201010000300002",120000,120100,20000,8,9,0,30,5,2014,3.80371122607792,2.04196988353581,2.93918772525671
"1201010000900001",120000,120100,10000,8,9,0,28,4,2014,2.59814438696104,2.33390113259049,2.37384140408903
"1201010000900001",120000,120100,15000,8,9,0,30,4,2016,2.41464614657922,3.22174591083047,2.32462400877545
"1201010001100001",120000,120100,10000,5,6,1,64,2,2014,2.78883661761908,1.99602323256257,2.03027941276404
"1201010001300001",120000,120100,30000,5,9,1,28,3,2014,2.39854242918992,3.23002568143863,2.66252262770571
"1201010001300001",120000,120100,20000,4,9,1,30,4,2016,2.60336191989917,2.07906169786827,2.49994222188244
"1201010001300002",120000,120100,60000,8,9,0,27,4,2014,3.83563599315024,2.0100520502502,3.05920037064865
"1201010001300002",120000,120100,30000,8,9,0,29,3,2016,3.58562427555241,2.33911744934599,3.2304674371457
"1201010001700001",120000,120100,20000,3,6,0,59,4,2014,3.15895077958941,1.01402881768763,2.32465327103991
"1201010001900003",120000,120100,80000,5,12,1,48,5,2014,3.58440943520315,3.54404941471242,3.06314535881477
"1201010001900003",120000,120100,1e+05,5,12,1,50,4,2016,4.01702087369045,2.37406918624313,3.33154096062125
"1201010002000001",120000,120100,30000,7,9,1,42,4,2014,4.17592543145956,2.04401655201807,3.54919524694506
"1201010002000002",120000,120100,1800,8,6,0,42,3,2014,3.98464519818598,2.3599120994835,2.89064152622228
"1201010002200001",120000,120100,10000,11,12,0,30,4,2014,3.42715198940665,2.02402258317429,2.91751397915367
"1201010002200001",120000,120100,10000,8,12,0,32,5,2016,3.39762527288877,1.98784220182031,2.69461381127291
"1201010002500001",120000,120100,16000,3,9,1,25,5,2014,3.95548196087729,2.37201081821595,3.73325508462226
"1201010002500001",120000,120100,60000,3,9,1,27,5,2016,3.17860412321126,2.01399424428786,2.78117027687485
"1201010003400001",120000,120100,30000,15,16,1,24,4,2016,3.20917992170045,3.56511781639156,3.40633208362121
"1201010003400002",120000,120100,50000,16,9,0,46,3,2016,3.80021495775193,1.98784220182031,2.76955122093785
"1201010003500001",120000,120100,10000,3,9,0,23,4,2014,2.996133139059,2.66604058264597,2.8744180720017
"1201010003500001",120000,120100,0,3,9,0,25,5,2016,3.78220689127355,1.73172611809146,3.03878662484708
"1201010003500002",120000,120100,40000,16,9,1,23,4,2014,2.82407456854044,2.88607249859794,2.28910956955515
